Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
75	1367.3562	209.01653	1644.0055	1050.7959	1582.1223	273.93997	2171.5757	1262.8031	424.2	489.3	149999	208.92905	66.09919	290.4478	-123.899704	208.92947	66.10584	289.16797	-94.67973	-211.65285	48.351925	20385.178445339203
76	1380.7789	266.5522	1743.5122	992.6627	1564.198	261.60553	2036.5687	1252.4167	436.6	484.5	151999	209.53712	66.53911	291.9621	-75.28642	209.5373	66.55275	292.33994	-115.96563	-212.02347	50.63585	20735.81559920311
77	1697.5205	205.7566	1877.0319	1409.4332	2175.5662	242.18661	2593.369	1719.78	534.3333	677.2	153999	209.81436	66.96444	292.44748	-175.51106	209.81548	66.97191	293.2813	-123.47798	-212.01	47.533	21094.548414707184
78	911.53595	396.11682	1488.8116	431.1374	1935.0557	409.27744	2628.2495	1363.6066	304.85715	590.8	155999	210.56042	67.05402	296.3179	-98.75898	210.55984	67.06557	296.78568	-100.95793	-213.02208	50.51493	21444.86445426941
79	1442.1536	80.87558	1518.01	1333.6481	1458.4255	331.6405	2122.8262	1146.4126	455.0	451.1	157999	211.40948	67.211655	297.24545	-134.1886	211.40906	67.209236	298.7219	-117.2822	-214.04335	53.012383	21787.855148792267
80	1297.2512	380.79193	1939.8849	950.7049	1682.46	326.13763	2282.0234	1266.3163	409.0	522.5	159999	212.60423	67.205284	299.81253	-121.253815	212.60323	67.20896	298.2055	-73.69749	-215.023	52.542294	22140.904913663864
81	1517.0753	318.75943	1869.4928	958.722	2266.0933	460.55704	2947.439	1646.8274	476.2	763.4	161999	213.7234	66.74546	299.41293	-134.86794	213.72394	66.74718	298.55594	-90.06585	-216.12361	49.67692	22507.477726221085
82	1554.6865	285.32632	1872.0581	1256.9006	1679.2988	545.25385	3229.3533	1374.4707	499.0	523.6	163999	214.29268	67.01173	298.05087	-116.97064	214.29318	67.0157	297.8391	-96.08291	-216.67638	49.746872	22858.898454904556
83	1357.7653	404.65286	2049.602	1042.7345	1700.8389	844.0364	2558.7788	314.11996	442.25	545.6	165999	214.8413	67.44068	299.0442	-145.44121	214.8415	67.43991	301.1004	-104.213844	-217.06676	46.92796	23210.06352353096
84	1092.7437	255.8138	1404.5852	618.9937	1344.3518	95.409096	1501.1014	1182.8146	361.0	419.8	167999	215.59312	67.319145	302.04858	-78.66394	215.59314	67.3314	300.54654	-80.874374	-217.86386	52.127754	23557.12074160576
85	1560.9369	312.18854	1932.082	1161.3489	1260.2825	37.21359	1311.5367	1211.1691	490.25	408.9	169999	216.45668	67.713745	300.79233	-100.90969	216.45694	67.71414	299.9525	-81.62202	-218.75438	47.770733	23900.10989022255
86	1520.1119	362.8804	1984.9497	1106.7242	1660.8239	406.5587	2237.6443	641.8824	480.25	499.5	171999	217.0415	67.82233	300.7663	-100.94442	217.04164	67.831566	302.2351	-145.93819	-219.30269	51.669624	24256.671033859253
87	1343.0605	240.53929	1619.9629	1050.702	1081.9156	45.313812	1191.2385	1041.7916	424.0	338.3	173999	217.56625	67.86147	299.61792	-177.80798	217.56566	67.87134	300.6122	-123.002945	-219.69722	47.447006	24597.473584890366
88	1344.1888	241.05896	1588.6602	948.6317	2554.2358	643.41296	3237.2974	1674.4023	423.75	799.1	175999	218.14308	67.96829	299.5975	-105.19997	218.14218	67.97577	299.03928	-65.30259	-220.44324	49.12992	24968.22258257866
89	1184.0048	296.23993	1574.3031	754.5335	1801.8391	658.26056	3274.178	1377.3102	376.0	552.5	177999	219.06032	67.74898	299.18802	-98.96579	219.06065	67.751	298.42935	-84.0513	-221.36496	44.544224	25321.65434217453
90	1182.836	250.19714	1545.4429	766.1869	751.27094	14.256813	781.3095	737.71844	373.6	261.2	179999	219.39258	67.90304	301.40164	-112.06476	219.39294	67.897194	300.14297	-117.52749	-221.48941	44.14759	25665.1950442791
91	1163.2683	147.64127	1304.3308	975.3786	770.8351	30.226793	835.20245	742.34674	367.0	268.7	181999	219.86006	67.73764	299.66672	-120.63559	219.8604	67.73929	301.78772	-134.21135	-222.14844	45.354187	26006.00193786621
92	1123.6625	272.5614	1677.0673	832.14166	1537.2346	428.28287	2721.5112	1201.9087	350.16666	468.8	183999	220.37737	67.81017	300.64285	-122.527794	220.37608	67.81835	300.8566	-140.72108	-222.7186	41.453033	26365.08012509346
