Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
65	274.42938	76.43379	429.9939	152.19418	54.805557	112.37892	56.308716	180.22905	-7.1202793	132000	0.0053429515	2496.0251	-0.006838898	-1428.5135	0.9178985	-2.3841857e-09	734.1265552043915
66	262.09607	78.47996	449.02048	124.24949	53.243244	125.61997	53.899296	184.98874	4.0910654	134000	-0.00089738466	2063.8542	-0.0057186927	-1170.6245	0.91786474	9.536744e-10	745.8862929344177
67	245.35324	79.70654	466.79477	92.59749	49.51282	120.851814	58.126945	187.34773	-25.409079	136000	-0.0011865201	2011.3728	-0.006854279	-1137.65	0.91783667	-1.9073486e-08	757.910478591919
68	285.65567	84.02297	483.6281	145.38876	57.057144	117.19545	57.472725	188.62433	-14.647263	138000	-0.065255515	2438.5647	-0.0059311613	-1331.233	0.9178041	1.1444092e-08	769.9343686103821
69	250.32063	76.49463	391.84763	87.17837	50.307693	122.803154	60.549606	193.32451	-2.5907757	140000	0.025855644	1726.793	-0.0064716134	-1033.5413	0.9177784	-7.152557e-09	781.8865098953247
70	293.1858	82.76331	458.7842	117.05076	58.5	118.88675	57.055733	193.26619	-11.493872	142000	0.00535651	2404.5776	-0.0073655955	-1389.3647	0.9177615	-1.0967255e-08	793.7635407447815
71	273.80365	86.373314	553.51544	115.885635	55.13889	129.71124	60.911613	197.16245	-8.276445	144000	-0.10044639	2656.7388	-0.0050911307	-1437.6028	0.9177377	4.482269e-08	805.7663700580597
72	269.9559	71.540695	448.7031	143.65364	53.405407	122.58614	59.208458	198.36	1.0370376	146000	0.0104153855	2034.4614	-0.0074887993	-1144.405	0.91770774	-4.7683715e-09	817.7817327976227
73	301.18634	91.80927	467.34125	153.58778	59.909092	126.75902	56.955654	199.78758	-7.219001	148000	-0.017350124	2567.451	-0.0065344814	-1401.75	0.9176834	1.9073487e-09	829.590747833252
74	286.75513	69.716675	482.94275	148.22493	57.142857	131.52072	62.44513	205.13336	-9.358131	150000	0.04756549	2149.2244	-0.0054479167	-1234.18	0.9176618	1.4781952e-08	841.4696378707886
75	308.52563	104.688995	605.23096	153.31128	61.75	127.02423	60.26886	206.12617	-1.8811285	152000	-0.07429427	2993.6375	-0.0050417334	-1638.1001	0.9176444	-2.9563903e-08	853.4986391067505
76	306.23306	86.568344	475.78745	122.29593	60.78125	140.49332	64.59136	211.30363	-19.43188	154000	0.023236148	2467.6174	-0.0055081844	-1370.8839	0.91762567	1.4305115e-09	865.5456926822662
77	320.63318	83.95931	520.2949	200.07285	62.21875	135.52005	64.3862	213.50177	-26.84977	156000	-0.087269254	2545.39	-0.004808001	-1492.2527	0.91761	-3.051758e-08	877.6910245418549
78	304.70526	79.32258	479.6312	103.751625	59.878788	145.4619	65.24354	216.9191	-9.62028	158000	-0.15736012	2489.1868	-0.0050795525	-1509.6427	0.917584	-4.4345857e-08	890.0492146015167
79	267.74976	91.29862	579.4623	100.233505	53.594593	131.99297	63.594715	218.14203	-7.203005	160000	-0.018068444	2307.7173	-0.005349802	-1343.9395	0.9175455	-2.7656554e-08	901.9303646087646
80	329.6562	108.35905	712.25433	112.83117	63.80645	133.24844	60.700542	218.49753	-20.056993	162000	-0.0024528857	3180.6733	-0.0065880585	-1750.1442	0.91750956	-6.198883e-09	914.0945823192596
81	329.08438	70.255	547.634	204.7234	64.3871	145.90736	67.56815	224.09224	-2.2551446	164000	0.040828202	2023.9263	-0.006159723	-1302.6532	0.91747886	2.1457673e-08	926.1004779338837
82	308.9689	74.30053	471.8722	160.70749	60.151516	138.84506	69.237885	226.66597	-25.534515	166000	-0.011015383	1782.2974	-0.0054791784	-1115.2195	0.9174489	-2.193451e-08	938.3099117279053
83	339.14114	101.36826	768.3676	199.28008	65.666664	138.74425	64.6746	227.4174	8.249938	168000	0.091160156	2660.3755	-0.005632028	-1369.6616	0.9174259	4.720688e-08	950.3986313343048
84	343.7756	102.02969	569.087	116.31087	67.965515	148.06525	69.49393	233.1549	-6.13739	170000	-0.06510002	2900.833	-0.0052100867	-1672.3381	0.9174145	2.193451e-08	962.4425556659698
85	366.59476	91.405495	547.62683	174.85326	71.25	146.34097	70.35082	237.13268	7.037647	172000	-0.03365516	2677.7644	-0.004664749	-1620.5643	0.917399	9.536743e-09	974.6505959033966
86	336.934	96.60755	547.53174	110.46104	65.96667	155.80293	71.69832	241.80469	1.6003203	174000	-0.16142815	2492.8528	-0.0061395317	-1448.2633	0.91738427	3.576279e-08	986.8071854114532
87	341.7205	97.225624	603.7837	208.47528	65.8	151.5419	71.63793	242.76115	4.1141944	176000	-0.04882659	2415.396	-0.0045943595	-1387.7114	0.9173456	-2.6226044e-08	999.3382308483124
88	347.1228	59.519283	458.2294	184.96515	69.14286	152.37881	71.45226	244.82056	-0.21363163	178000	-0.01751249	1616.833	-0.0050203092	-1111.9393	0.9173109	4.5776368e-08	1011.6044471263885
89	349.65057	83.53198	597.07227	182.22858	68.48276	145.21309	69.219734	244.88724	-20.448473	180000	0.011497	2034.9429	-0.0046346392	-1281.9106	0.9172772	-2.8133393e-08	1023.8026394844055
90	342.46426	76.60853	516.89465	106.72117	66.53333	150.7928	73.19379	247.43651	-12.636126	182000	0.014764455	1785.3269	-0.0043492317	-1146.9138	0.91724926	-2.6226044e-08	1036.2544326782227
91	352.44217	76.16073	550.33466	211.32544	68.72414	152.2415	68.888985	247.88792	-16.645014	184000	-0.15895423	1613.5653	-0.0051080734	-981.74176	0.9172209	1.9073487e-09	1048.3305790424347
92	361.56833	91.655716	623.6622	146.9632	70.10714	151.41313	69.34501	249.03531	-22.572744	186000	-0.08402271	2382.1143	-0.004570566	-1440.0381	0.91718245	1.4781952e-08	1060.4626166820526
93	350.55457	70.32153	561.652	227.59346	67.655174	155.0261	75.3296	250.9109	-0.0115737915	188000	0.025470931	1959.5913	-0.0056125093	-1290.4335	0.9171357	-1.4305114e-08	1072.9690117835999
94	359.75003	67.00681	530.3262	228.8233	69.67857	150.66638	70.19456	251.34497	-3.0045125	190000	-0.04540821	1592.2324	-0.0046608783	-1008.718	0.9170998	-1.4305114e-08	1085.081304550171
95	353.3611	80.825714	490.61038	127.84114	67.10345	153.91475	71.245766	253.33604	-5.4254503	192000	0.077104196	1637.7391	-0.0053830966	-1013.017	0.91706157	2.861023e-09	1097.5152254104614
96	349.5491	90.399666	568.94324	222.40752	68.206894	150.95924	71.293175	255.48254	7.6384916	194000	0.030899812	2127.1	-0.0053236336	-1327.034	0.9170322	1.525879e-08	1109.9582407474518
97	331.24698	77.109665	614.8863	175.06747	64.19355	153.48654	77.5554	257.24548	1.0149438	196000	-0.13928865	2200.2603	-0.004243776	-1473.4045	0.91701007	1.9550324e-08	1122.2505979537964
98	321.32434	80.3968	472.03763	88.004265	61.28125	145.51347	70.119225	255.32309	2.0280402	198000	-0.05017476	1547.3408	-0.0044929534	-939.87067	0.916974	-1.525879e-08	1134.6504309177399
