Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
92	64.757835	2.3762164	67.07449	61.731945	65.23191	1.8451868	66.2884	61.5431	13.567568	13.8	183999	33.958664	17.519316	75.786736	-0.045697927	33.958855	17.519005	72.000336	-1.1757938	-33.851917	1.1330051	44310.95661520958
93	64.85606	2.357425	67.11964	61.787014	64.2233	2.3019576	66.21556	61.289017	13.585034	13.6	185999	33.886913	17.579622	73.66537	-1.9165775	33.88704	17.579384	73.67471	0.5588658	-33.74675	1.1254797	44972.069970846176
94	64.86193	2.3485157	67.187485	61.874687	65.189995	1.895485	66.380066	61.391033	13.585034	13.8	187999	33.954685	17.532068	70.49064	-4.632462	33.954563	17.532173	70.72911	-0.37322807	-33.808895	1.1181731	45633.94080781937
95	64.63957	2.3817105	67.10216	61.791664	63.85151	2.355436	66.3648	61.346443	13.540541	13.5	189999	33.908092	17.549465	72.4671	-1.0700061	33.90798	17.549446	70.21875	0.0061312914	-33.738804	1.0923102	46302.165311813354
96	65.253815	2.2487795	67.11314	61.759956	63.88146	2.3873477	66.38801	61.389103	13.671233	13.5	191999	33.944134	17.562456	72.59576	-1.0922523	33.94416	17.562262	74.67457	-0.8905833	-33.83699	1.1207136	46928.32872533798
97	65.042015	2.312795	67.11843	61.754597	64.27961	2.3223605	66.3647	61.327682	13.625851	13.6	193999	33.9372	17.559895	69.30986	-0.9169246	33.93712	17.560007	70.42872	0.5930196	-33.760593	1.0997957	47484.32743215561
98	64.9163	2.336606	67.059135	61.81583	65.20677	1.9419473	66.364044	61.327206	13.605442	13.8	195999	33.91799	17.583462	70.58628	-3.137454	33.91794	17.583485	70.249886	1.5984342	-33.719753	1.1271797	48035.12569451332
99	64.801414	2.366244	67.146774	61.826904	62.37679	1.9431982	66.27463	61.317413	13.571428	13.2	197999	33.93095	17.543295	69.96055	-2.5964284	33.930954	17.543093	72.10483	-2.3145912	-33.832733	1.1179792	48587.844115018845
100	64.91809	2.353751	67.146484	61.82495	65.69888	1.4534221	66.31139	61.34575	13.5986395	13.9	199999	33.966663	17.566555	69.8978	-13.873523	33.966743	17.56641	69.46531	-4.766919	-33.849506	1.1088706	49137.576962947845
101	64.93904	2.3266063	67.1214	61.771866	64.78681	2.2022853	66.43472	61.268944	13.605442	13.7	201999	33.925526	17.570974	69.943146	-1.2026135	33.925354	17.571056	73.45738	-0.97992134	-33.771423	1.1120025	49735.810428619385
102	64.898254	2.3430045	67.16207	61.79691	64.767166	2.1992793	66.3511	61.24455	13.591837	13.7	203999	33.936653	17.580902	71.58341	-1.8941165	33.936607	17.580906	71.488	1.0381271	-33.784977	1.1085099	50352.0984210968
103	64.92971	2.3449948	67.11449	61.80858	64.233826	2.2541177	66.123245	61.27884	13.5986395	13.6	205999	33.999596	17.561268	74.16107	-1.7300488	33.99967	17.561186	75.30642	-1.1201957	-33.86665	1.1065023	50971.791544914246
104	65.25351	2.2461922	67.20049	61.808334	63.828968	2.4046712	66.29893	61.276783	13.67347	13.5	207999	33.97307	17.572447	73.91223	-0.7228807	33.972866	17.572355	77.24923	-0.8948113	-33.894985	1.0953324	51590.7792096138
105	64.84709	2.3516846	67.10614	61.823467	63.388317	2.231642	66.21928	61.37299	13.585034	13.4	209999	33.937744	17.573029	72.33072	-2.6378112	33.93775	17.573116	70.23102	-0.5152985	-33.770702	1.0994967	52215.33533883095
106	64.963585	2.32371	67.103485	61.847416	65.24566	1.839968	66.397575	61.533035	13.612245	13.8	211999	33.94107	17.597607	73.306145	-2.0490322	33.941086	17.59745	80.008316	-2.9273221	-33.74996	1.104565	52802.761255025864
107	64.90916	2.3527334	67.138664	61.74855	64.315735	2.3308833	66.37235	61.443153	13.5986395	13.6	213999	33.971394	17.589628	69.92478	-0.28845882	33.97135	17.589617	70.62464	-1.5952181	-33.838963	1.0897485	53364.892501592636
108	65.15327	2.2714896	67.065765	61.850174	65.31069	1.9195812	66.370995	61.434113	13.650685	13.8	215999	33.942043	17.598682	76.449554	-0.9522401	33.94193	17.598831	74.57804	-0.26356328	-33.752758	1.0975327	53969.19801282883
109	64.74576	2.3663487	67.15042	61.843292	63.811363	2.349508	66.41113	61.37636	13.560811	13.5	217999	33.96835	17.569078	72.223175	0.44816273	33.96826	17.568855	73.10823	-0.23536563	-33.871544	1.0927355	54587.83496260643
110	64.75338	2.3504963	67.08299	61.697784	63.88449	2.3596911	66.42189	61.460075	13.564626	13.5	219999	33.997414	17.602388	71.94251	-2.111217	33.997295	17.602402	71.05569	-1.7434592	-33.80936	1.0837868	55204.17200899124
111	64.60598	2.3819885	67.11408	61.729572	64.33129	2.3025641	66.39552	61.469013	13.533784	13.6	221999	33.94623	17.597153	71.153366	-13.918699	33.946125	17.596895	71.315506	-8.317094	-33.791885	1.0922407	55822.78365921974
