Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
57	484.13574	119.956245	753.1353	355.7582	170.90909	170.59756	51.825436	208.01508	-2.0323637	116000	-6.7777e-09	1051.9237	-0.01512663	-378.8922	0.77583206	0.015361068	0.148	12.0	457.1481149196625
58	535.82043	141.50174	827.04425	366.98425	183.4	169.33963	52.797775	211.40921	10.93223	118000	2.323091e-08	1019.2776	-0.014510767	-420.15845	0.7757433	0.01563798	0.1945	13.0	464.5771179199219
59	589.0835	113.2459	708.5447	362.98184	203.44444	177.21461	56.577133	218.26079	4.8900137	120000	1.3627112e-08	1137.5475	-0.00575869	-768.0845	0.7733718	0.01524928	0.157	4.0	472.1802842617035
60	577.68335	121.3758	728.2423	384.2873	190.3	187.13332	56.786716	223.21616	4.827821	122000	-1.0035932e-08	569.164	-0.020545892	-163.84274	0.77233636	0.015677236	0.1495	23.0	479.87010431289673
61	644.1643	133.62392	984.3213	482.47675	210.66667	192.53523	58.389084	228.7702	2.9149427	124000	1.6048551e-08	532.5023	-0.027188784	-205.23822	0.7627145	0.009969508	0.1435	79.0	488.29728627204895
62	615.6499	118.82671	740.4197	381.17883	199.8	194.66777	62.29417	235.9558	6.056734	126000	2.9802322e-10	409.56128	-0.03203541	-77.165344	0.7541112	0.012711866	0.1825	79.0	496.9691035747528
63	748.72815	153.49707	991.9372	526.74304	236.0	210.91422	57.659283	240.25327	1.9472058	128000	4.3436885e-09	869.5992	-0.027780011	-356.22858	0.74542195	0.015085563	0.166	41.0	504.680287361145
64	630.7722	226.81725	1007.85406	96.93453	203.44444	208.98932	63.175087	249.4904	6.9581757	130000	1.5869737e-09	1600.2043	-0.025973937	-509.04163	0.7482336	0.003490469	0.1635	79.0	513.1254870891571
65	676.162	90.303474	879.1078	579.97614	213.75	208.28026	62.228935	252.44508	2.6116357	132000	-5.804002e-09	701.48486	-0.035982594	-320.09082	0.74215406	0.010513382	0.2035	79.0	521.6294591426849
66	773.0055	126.63931	988.50464	591.51215	239.25	216.74	63.719536	256.89682	3.441601	134000	-3.298372e-08	523.7311	-0.033818267	-182.4527	0.7236466	0.012188666	0.175	79.0	530.0171897411346
67	824.2423	118.3885	992.5652	665.92834	259.0	233.547	60.323704	262.51663	-3.5073235	136000	-9.167939e-09	787.0234	-0.005621147	-287.13904	0.70446616	0.01611251	0.171	3.0	537.5660619735718
68	685.73145	213.90096	1048.9037	386.2483	229.875	228.10516	63.67967	266.17114	3.63373	138000	-5.632639e-09	2427.1716	-0.008143437	-968.90686	0.70449823	0.016024508	0.2485	6.0	544.8140144348145
69	912.0522	135.34892	1064.5105	672.7828	284.83334	218.69513	53.323524	262.2713	5.64472	140000	-4.5746567e-09	1918.3634	-0.004910515	-1518.576	0.70476604	0.015076388	0.244	3.0	552.2463035583496
70	948.1128	177.76227	1239.7129	761.79315	301.33334	231.81107	63.462627	270.25864	9.656654	142000	2.1979212e-09	627.3076	-0.029953629	-213.5227	0.7048179	0.012097676	0.153	79.0	560.9062247276306
71	843.3072	342.24896	1420.7898	209.02136	274.2857	236.23082	60.248013	272.89713	6.6398287	144000	1.4960765e-08	3349.4006	-0.0070421533	-1184.1436	0.69527304	0.015678221	0.23	4.0	567.9851348400116
