Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
81	-41.088257	62.03107	14.89745	-158.95679	10.888496	265.40787	398.80432	-674.47107	239.0	539.0	161999	131.56712	39.803314	340.3416	-102.41865	-133.8094	17.680223	18098.601201057434
82	4.507112	67.42633	129.6964	-75.28372	86.78618	262.00916	604.1058	-364.86737	420.4	525.0	163999	134.90692	42.301517	337.09576	-87.66354	-137.22307	19.101374	18323.35377764702
83	30.996244	62.401085	119.067894	-17.87503	-29.0534	67.045334	151.6632	-93.27096	680.0	270.4	165999	137.96187	44.65488	312.77417	-77.86094	-140.34804	20.985567	18528.351913928986
84	65.083954	141.21611	330.06726	-53.445522	27.743185	298.4147	591.9931	-360.5191	434.0	531.9	167999	141.00404	46.824062	328.8009	-71.43601	-143.43056	22.889732	18760.294352293015
85	-103.144806	94.278114	-8.866693	-197.42291	110.71484	278.6783	639.0377	-329.4591	610.5	613.0	169999	144.42166	49.60404	346.34903	-82.81962	-147.02676	23.768917	18997.104044675827
86	49.736187	154.18532	410.03824	-57.7794	170.94687	204.8576	525.0836	-25.241398	335.2857	514.7	171999	149.1182	53.023323	364.7245	-83.0973	-151.86734	28.281664	19228.990913629532
87	-70.68128	84.04659	-7.0845757	-215.33752	-196.61093	535.0482	169.97133	-1766.0178	512.75	436.4	173999	154.69832	57.27532	363.82385	-82.39196	-157.59114	28.33129	19449.82627940178
88	-150.81166	385.7375	234.92581	-536.54913	-177.77263	433.43875	503.22794	-881.70654	1000.0	706.3	175999	160.911	60.841423	379.45367	-117.39574	-163.88101	29.635586	19696.082822561264
89	82.56154	159.01743	387.0308	-34.875557	-415.1748	449.58615	-21.904291	-1558.4707	425.0	644.9	177999	166.75807	64.49681	393.5802	-86.44203	-169.8581	32.008957	19935.25434446335
90	124.90257	215.58505	344.4397	-132.02167	-319.54663	507.59512	-9.743123	-1502.3444	545.75	341.4	179999	172.61633	68.42299	412.20398	-113.141075	-175.7571	35.691456	20149.87971496582
91	-273.00626	170.42775	-102.5785	-443.434	-37.861294	59.41555	27.966413	-196.14392	626.5	130.2	181999	178.32533	72.83328	440.219	-91.89407	-181.65019	40.108	20347.127319812775
92	-203.80023	202.89024	-10.0196295	-572.1651	-30.435207	323.9565	475.59726	-829.4335	384.83334	432.1	183999	186.23537	79.00578	447.46448	-160.30135	-189.70428	43.390102	20570.41611599922
93	171.85419	121.12323	292.97742	50.73096	-122.53623	544.4018	476.92203	-1277.7252	1000.0	710.6	185999	192.1995	82.89935	452.3998	-257.51645	-195.61572	47.05557	20820.347841262817
94	-39.400307	102.73029	180.22948	-177.48569	-251.38184	270.44788	-22.375725	-821.10394	328.42856	363.3	187999	196.8396	86.202705	465.62155	-98.85595	-200.32025	48.62161	21037.084305763245
95	-36.526527	70.47082	101.35484	-163.79411	-268.40283	452.69495	-20.358496	-1512.4708	188.6	322.4	189999	203.62674	90.539856	487.1152	-162.52458	-207.36641	54.58039	21250.241539478302
96	-221.03336	191.8348	-13.82043	-472.6804	-358.9108	748.431	111.23149	-2494.2283	515.25	518.7	191999	210.54694	94.5116	523.37384	-141.4971	-214.34677	60.18871	21480.87601661682
