Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
72	1675.4769	12.4765625	1687.9535	1663.0004	1526.3464	358.55844	1879.0848	978.42847	1000.0	953.2	143999	51.88101	28.906202	100.17554	-26.849264	51.880104	28.909212	100.4375	-44.72623	-53.55464	8.140565	17301.710816144943
73	877.5222	703.0231	1827.1849	147.80319	965.88104	386.30527	1776.7896	136.75911	699.6667	908.4	145999	52.38965	29.635118	102.28875	-28.081106	52.389404	29.63732	100.53517	-28.088163	-54.14851	8.277273	17549.381027698517
74	1086.4292	719.61017	1806.0393	366.819	1484.5459	505.55295	1920.0145	670.3585	600.0	909.4	147999	52.867516	30.26659	102.9169	-36.05101	52.8679	30.267859	102.99407	-34.531685	-54.51264	8.27697	17793.017178297043
75	1412.54	601.0185	1883.0934	564.263	1528.41	465.18842	2001.7062	539.7123	772.0	888.5	149999	53.445755	30.878607	105.39614	-28.543728	53.444965	30.880623	104.8379	-31.701015	-55.11847	8.774463	18032.005031824112
76	1304.4941	496.4387	1800.9329	808.0555	1168.8807	543.24634	1851.9077	336.27356	1000.0	792.7	151999	54.08257	31.398478	105.23691	-31.24316	54.082756	31.399347	106.72783	-30.1245	-55.90407	8.8565035	18262.32133793831
77	1097.3281	769.6693	1866.9974	327.65878	1285.5918	364.22287	1943.4554	674.2425	1000.0	897.3	153999	54.3526	32.31092	106.93169	-24.890234	54.3527	32.31397	107.97854	-28.696926	-56.108124	9.105043	18505.69792342186
78	582.693	206.44383	770.5171	247.58653	1379.5764	559.25476	1987.0413	614.58325	460.0	879.6	155999	54.46948	33.120296	108.87891	-38.654774	54.46925	33.121567	109.87485	-57.94549	-56.15133	9.321735	18748.21346592903
79	1080.2915	540.5307	1806.605	510.7086	1597.1744	489.2329	1974.8798	501.8474	760.6667	985.6	157999	54.92423	33.96848	108.28094	-29.539045	54.923885	33.970795	109.21783	-30.57424	-56.584164	9.669885	18997.99011039734
80	1812.908	6.4417725	1819.3497	1806.4662	1585.987	499.9597	1988.4487	657.7691	1000.0	838.1	159999	55.146793	34.838993	109.84761	-56.48161	55.147476	34.8383	109.31899	-42.26055	-56.94952	9.74894	19236.734416484833
81	1755.639	26.437988	1782.077	1729.201	1549.3997	631.9055	2064.469	95.577545	1000.0	976.8	161999	55.66003	35.82238	110.8166	-36.390797	55.660686	35.82316	111.14023	-37.090588	-57.616367	9.977541	19483.56635904312
82	1390.4967	625.85333	1930.9752	513.2561	1497.035	498.71158	1942.0743	296.06247	757.6667	916.8	163999	56.339806	36.618126	111.59438	-32.814262	56.340046	36.619415	113.97638	-37.16465	-58.2519	10.229033	19728.416268110275
83	727.57263	7.917816	735.4905	719.65485	1494.8008	536.36896	2031.9243	613.181	715.0	974.1	165999	57.21029	37.149982	116.83286	-34.94275	57.209805	37.150932	113.92043	-42.677223	-58.977398	10.318914	19976.15732383728
84	908.88385	524.1697	1616.1411	362.97647	1611.1354	445.0086	2051.7065	918.57825	728.0	898.9	167999	57.78867	37.594254	115.48215	-35.66787	57.78937	37.59542	116.48283	-34.18153	-59.565765	10.281712	20220.379742383957
85	984.63794	775.0973	1942.4227	44.06389	1863.9153	594.32715	2192.059	92.075226	520.0	904.8	169999	58.61947	38.12365	114.82991	-90.32712	58.619686	38.12469	116.02544	-35.927895	-60.32438	10.467164	20463.146752357483
86	1952.0422	62.971375	2015.0137	1889.0709	1972.9791	217.17123	2113.8257	1333.1228	1000.0	969.0	171999	59.57282	38.591217	118.24007	-32.531315	59.57283	38.5927	119.01759	-35.331116	-61.31611	10.652996	20715.082997322083
87	1420.665	92.887634	1513.5527	1327.7775	1333.1166	704.79504	2053.406	84.73442	1000.0	759.8	173999	60.174	39.192295	117.80571	-25.712418	60.17375	39.193882	116.748474	-62.8927	-62.07216	10.473363	20944.246498584747
88	1840.3058	85.21423	1925.52	1755.0916	2034.9387	43.42559	2100.5142	1945.8629	1000.0	1000.0	175999	61.03063	39.78729	118.16972	-34.595917	61.030605	39.787006	117.76568	-30.82588	-62.755733	11.168395	21194.86500096321
89	2022.2463	81.776794	2104.0232	1940.4696	1542.1842	697.05414	2057.6863	146.9753	1000.0	789.4	177999	62.08914	40.406364	118.63235	-33.271004	62.088795	40.408916	120.881424	-35.16263	-64.01528	10.996947	21425.208303928375
90	1907.9215	5.178833	1913.1003	1902.7427	1958.1031	48.10796	2029.641	1863.0037	1000.0	1000.0	179999	62.80711	40.90444	120.06777	-36.075024	62.80666	40.905838	119.56074	-36.920456	-64.65097	11.328692	21672.05890107155
91	1560.6233	420.0954	1980.7186	1140.5278	1478.1095	759.2155	2021.4382	16.096136	1000.0	906.2	181999	63.4842	41.50599	123.8312	-35.6158	63.482964	41.508694	120.88422	-39.443	-65.344765	10.955195	21914.410898923874
92	1716.8584	227.02814	1943.8865	1489.8302	2043.0404	31.116423	2089.4797	1996.4094	1000.0	1000.0	183999	64.16264	42.176826	124.17245	-38.71209	64.16226	42.181343	124.19215	-36.460796	-66.00978	11.446281	22163.304911136627
93	1803.7223	242.64323	2024.677	1465.8733	2006.3981	449.01147	2209.9236	662.1347	930.0	1000.0	185999	65.0335	42.7538	126.63685	-37.66538	65.03131	42.7586	125.85532	-40.49935	-66.96828	11.721987	22414.551322460175
94	2070.0054	32.19214	2102.1975	2037.8132	1982.3258	225.51605	2198.779	1324.3505	1000.0	963.4	187999	65.95033	43.325687	126.44206	-41.00169	65.94834	43.33123	124.48213	-34.61251	-67.66066	11.9386215	22662.420902729034
