Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
66	255.49579	69.298096	441.2541	137.61757	51.710526	110.30981	54.66235	180.41383	-15.420508	134000	-0.069994494	1849.1372	-0.005191155	-1110.6412	0.9171841	-9.536743e-09	2836.540782213211
67	246.07336	84.99088	483.43063	91.921555	48.73171	115.783844	52.203114	183.76447	-13.899371	136000	0.0062758652	2296.6167	-0.0055849855	-1308.0876	0.91711	-6.67572e-08	2879.4691400527954
68	255.26555	83.36147	435.3306	86.53122	50.789474	115.39093	56.65178	186.85445	-12.0485735	138000	-0.06878893	2241.5361	-0.0069263577	-1264.6357	0.91705203	4.148483e-08	2922.7660558223724
69	275.07776	98.65654	533.5617	81.916016	54.555557	118.60961	57.41669	190.55022	-9.12636	140000	-0.034041405	2742.1626	-0.0054045096	-1546.9822	0.91698813	-7.629395e-09	2965.9289853572845
70	266.83337	86.69297	469.6912	92.65594	53.18919	125.986786	60.23825	195.6704	-25.001524	142000	0.046017576	2144.9868	-0.0060836785	-1217.7247	0.91693115	-4.768372e-10	3008.34543633461
71	259.15118	61.831	367.596	118.52771	52.07895	122.75292	61.6232	197.77338	-2.6168416	144000	-0.06155146	1447.6056	-0.0069686025	-931.7063	0.9168793	2.0503998e-08	3050.927528858185
72	262.54944	100.41825	589.97125	97.513756	52.236843	118.27011	54.710693	198.02353	-5.776779	146000	-0.0041551967	2890.9626	-0.005788592	-1575.9114	0.9168288	6.198883e-09	3095.0293555259705
73	278.8971	85.67678	469.339	99.632545	56.228573	124.208046	59.5384	201.55756	-7.133896	148000	-0.017784633	2176.8984	-0.0069760066	-1274.8186	0.91678554	2.002716e-08	3139.959416627884
74	272.18506	90.57993	496.19748	97.37668	53.405407	130.51569	62.085995	204.54225	-18.259481	150000	-0.12681046	2376.0933	-0.0065494776	-1356.5039	0.91674405	-1.001358e-08	3184.4894092082977
75	295.47766	102.32515	499.03793	94.341774	58.47059	129.59712	62.785484	206.54247	-10.394469	152000	0.022444714	2983.9685	-0.0068677524	-1695.8064	0.91669774	1.9073487e-09	3228.71865940094
76	285.5285	64.089386	475.90497	166.06366	55.914288	132.4033	60.6936	210.49753	-49.387314	154000	0.009115156	2043.5326	-0.006356883	-1308.0621	0.91665393	-1.7642975e-08	3273.9735341072083
77	294.8914	85.723595	469.46738	148.89877	58.558823	128.36012	61.13554	211.7147	-15.123262	156000	-0.11018716	2530.5732	-0.0070956945	-1628.8203	0.9166225	-1.1444092e-08	3317.80064702034
78	287.18082	90.714455	527.62714	109.53484	57.0	135.92194	61.870674	214.21004	-19.883995	158000	-0.025645956	2499.8547	-0.004827695	-1493.0045	0.9165752	-2.2411346e-08	3361.113250732422
79	285.12897	97.61796	517.07825	117.44577	57.085712	123.08921	63.05259	216.17809	-19.780521	160000	-0.07227903	2640.0164	-0.007468879	-1631.1355	0.9165338	1.4781952e-08	3404.161736011505
80	311.91803	101.31498	667.76587	105.78283	61.71875	132.21584	64.24814	218.40796	-20.004118	162000	-0.07324742	3226.9238	-0.0056337044	-1887.6315	0.9164848	3.1471252e-08	3448.5208456516266
81	324.46112	90.05038	614.6201	173.24469	63.548386	141.03827	60.69262	221.86162	-13.884711	164000	0.007403462	2839.5054	-0.0051485696	-1645.2295	0.91643757	-1.4305114e-08	3491.2773196697235
82	343.93436	92.75293	692.9198	188.69081	68.206894	138.20854	65.92897	226.52423	-10.158529	166000	0.104913354	2953.604	-0.0053272396	-1743.1862	0.9164002	4.053116e-08	3532.380848169327
83	362.73642	119.06554	837.9189	170.83432	70.96429	146.61378	68.47836	232.17737	-23.61409	168000	-0.07291293	3704.5203	-0.0055828094	-2003.1804	0.9163715	-1.3828277e-08	3572.6891252994537
84	333.47656	91.27319	580.6572	100.621864	66.26667	156.12596	71.53794	237.9581	-22.474077	170000	-0.18576485	2269.5967	-0.005882129	-1462.2668	0.9163438	9.536743e-09	3613.539613723755
85	335.88254	81.54053	495.94455	167.25417	65.7	141.78584	70.10752	238.53844	-10.361362	172000	-0.0029934307	2094.231	-0.007429882	-1336.3048	0.91629624	2.5749207e-08	3653.848941087723
86	335.93683	82.05334	537.65674	181.82533	66.586205	149.00497	70.37841	239.29143	-12.779417	174000	-0.01234662	1967.4371	-0.00606245	-1166.6406	0.916256	-2.002716e-08	3694.857564687729
87	348.0587	95.49526	490.90347	92.9893	67.27586	148.36371	68.410904	240.50104	-13.96929	176000	0.028527126	2503.6484	-0.0060113	-1550.105	0.9162201	-1.4305115e-09	3735.9410769939423
88	332.54218	81.06999	539.2516	91.97803	65.1	143.34775	72.61843	242.726	-11.045041	178000	-0.09081642	2530.5725	-0.005942084	-1624.3186	0.9161905	4.386902e-08	3776.7096016407013
89	366.83218	98.84822	611.66925	186.1559	71.28571	150.19739	63.243378	242.41808	-15.482819	180000	-0.0070521124	2551.3223	-0.005061215	-1436.9148	0.9161516	3.004074e-08	3816.7653210163116
90	329.5229	98.26591	584.5603	93.56492	64.7	158.05931	74.36139	247.55121	-17.00989	182000	-0.036799196	2540.3174	-0.007173918	-1551.8645	0.91612124	-2.193451e-08	3857.02876162529
91	328.47882	85.85292	522.3213	108.69234	64.0	147.36256	70.25202	246.90259	-16.514133	184000	0.026214354	1913.7012	-0.0051890165	-1223.1577	0.91608554	2.3841857e-09	3895.015523672104
92	329.89835	70.31622	497.73105	111.79555	63.903225	144.92393	70.84913	247.8199	-26.606482	186000	-0.072703026	1580.7786	-0.004442461	-1054.5577	0.9160633	-2.002716e-08	3934.661303758621
93	348.49414	84.01883	554.9522	148.046	67.48276	142.33276	69.22815	247.23677	-7.8070955	188000	-0.06548168	1976.7742	-0.0063105077	-1229.4236	0.9160358	1.4305114e-08	3975.5374562740326
94	341.77316	73.19669	493.48907	211.11469	66.89655	156.94084	70.01349	249.60063	-2.6443148	190000	-0.03567905	1648.3706	-0.006328076	-1110.7715	0.91600335	-2.7179718e-08	4016.85782122612
