Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
47	570.8007	77.238014	717.5921	399.92142	681.583	79.47695	782.3593	474.99658	111.47059	132.0	93999	221.254	115.35468	466.46896	-28.461197	221.25407	115.34916	465.3113	-20.508602	-4.567383	5.0915604	29.300806	-22.141018	-223.26941	113.53989	23985.94684791565
48	560.86017	92.211075	708.4057	398.4716	567.32654	51.959057	631.5792	448.59467	112.789474	113.5	95999	222.9689	115.78975	491.24667	-39.04939	222.97064	115.78818	477.61786	-52.732758	-4.622799	5.154087	28.147327	-23.440968	-224.96413	115.54072	24368.304604530334
49	592.59717	134.88434	1011.4234	423.91034	572.9821	102.17985	855.80225	488.039	117.0	111.2	97999	223.509	116.780716	492.0297	-34.076214	223.51036	116.7754	470.25705	-37.49057	-4.5702844	5.080772	30.285194	-21.082531	-225.55327	117.55896	24759.945993185043
50	531.0035	124.91639	861.98175	359.7165	519.405	99.16499	722.0565	412.79007	107.166664	100.8	99999	224.19272	117.53183	463.56232	-19.626495	224.19328	117.52732	486.1635	-22.793262	-4.7065477	5.039949	35.995037	-22.40113	-226.1505	119.91178	25149.46650314331
51	576.7016	107.83075	782.6978	404.43222	664.0736	89.86789	830.00684	543.02136	115.72222	125.5	101999	224.8745	117.74669	534.91895	-41.338062	224.87495	117.74407	511.85236	-46.176865	-4.7210035	5.009155	43.29285	-20.829046	-226.77992	122.71114	25522.350783109665
52	579.5512	99.153206	739.7747	419.5235	640.0415	176.8393	1015.58514	476.17203	116.0	122.9	103999	225.75294	117.871445	498.4854	-21.304594	225.75204	117.86946	504.57092	-37.336983	-4.920803	4.9925947	36.61707	-20.16314	-227.63652	122.19285	25918.086849451065
53	687.7848	196.11125	1189.1116	400.66626	580.2369	78.01922	784.2084	505.64346	136.35715	106.1	105999	225.77254	117.88769	487.70554	-25.267973	225.7724	117.88523	498.32822	-22.813826	-4.8698554	4.987104	38.299484	-20.470236	-227.63588	121.51915	26320.98458790779
54	627.81354	119.850044	888.88043	408.61914	638.47314	141.62466	1020.9502	511.68997	120.70588	121.6	107999	226.36385	117.83581	478.0462	-29.498777	226.3639	117.83455	483.91782	-23.176147	-4.9603972	4.97617	42.943893	-20.140312	-228.18428	121.10639	26709.309438467026
55	652.834	116.85627	872.7647	501.34027	594.2394	101.49417	755.6741	482.13568	131.8	110.3	109999	227.43929	117.67306	478.8654	-18.64255	227.43993	117.66838	483.3058	-28.158657	-4.8807697	4.9604025	30.944206	-19.719551	-229.1869	119.85884	27116.00214266777
56	728.2057	100.100395	905.124	586.9108	495.12173	50.416576	579.5386	418.88495	145.38461	93.7	111999	227.42989	117.98605	486.6794	-18.352386	227.4294	117.98118	478.31558	-19.67926	-4.855495	4.9678655	33.807323	-21.118525	-229.2415	118.89909	27523.83463907242
57	646.1251	207.89616	1234.3264	444.77524	572.4209	65.74385	667.55237	469.77835	126.411766	106.4	113999	227.85393	118.35688	496.36584	-36.853817	227.85481	118.352806	536.1104	-67.5285	-4.624393	5.1183844	38.145935	-21.0867	-229.73032	117.85297	27888.22892022133
58	654.43256	162.94478	960.12146	385.36862	610.2798	80.947685	794.11395	504.65125	130.33333	116.8	115999	229.14432	119.379326	470.03888	-28.02319	229.1442	119.37867	476.8934	-20.304214	-4.7403307	5.16642	30.903267	-20.220089	-230.972	117.33822	28190.829981565475
59	645.7567	143.32088	860.184	430.0332	555.21484	103.8854	774.55023	429.9365	128.4375	103.9	117999	230.58646	119.57243	459.48795	-21.856258	230.58464	119.569954	468.13123	-39.298916	-4.7120385	5.2025104	36.950577	-23.064104	-232.43295	119.5349	28449.784429311752
60	635.5769	175.88121	969.6211	389.91693	600.5017	105.01744	820.68915	452.48572	124.6875	114.1	119999	231.52895	119.71735	461.32422	-64.25902	231.53212	119.71652	463.1704	-33.369755	-4.677684	5.1004567	38.008663	-21.598915	-233.30428	120.204544	28680.654361009598
61	638.2745	114.58612	834.6932	466.71277	543.59125	23.326628	574.72455	497.048	126.4	101.3	121999	232.94373	119.666824	462.79422	-19.558853	232.9429	119.66459	475.94864	-20.476345	-4.567667	5.160666	38.941833	-20.527449	-234.76604	117.34328	28917.170954465866
