Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
60	472.16547	132.50758	687.07837	319.3722	913.29346	221.09204	1349.9352	581.8218	198.85715	605.4	119999	661.3173	217.05585	1010.50305	-821.5393	-673.03644	588.6596	16549.61321234703
61	394.7758	469.64975	1398.4508	12.063299	977.16003	381.17526	1546.9724	417.83887	265.0	447.0	121999	650.00464	215.48352	988.2146	-831.3149	-661.6516	618.77374	16892.04908847809
62	537.0732	391.2471	1272.8903	56.12606	785.83466	536.4139	1415.3224	18.103334	253.42857	445.3	123999	640.93726	208.55734	925.55	-456.4485	-652.12665	561.63385	17237.563178539276
63	1294.4226	560.9112	2057.417	725.0113	829.8613	114.94568	1039.4723	691.2554	630.0	384.7	125999	633.47845	204.2406	930.1778	-450.35193	-644.7648	549.32367	17573.62509727478
64	860.21875	176.3116	1143.7675	634.86804	488.57123	202.96796	816.9107	278.7402	403.83334	223.3	127999	625.38654	199.65517	925.22614	-461.50958	-635.9429	506.75775	17901.990273714066
65	429.33414	229.23096	713.95233	23.379936	422.66876	117.1834	702.61975	296.49228	196.6	180.3	129999	613.4104	194.11868	888.5314	-449.74808	-623.6114	526.2381	18224.718194246292
66	712.7333	237.93895	1242.7898	496.39514	661.66565	78.66575	770.65894	517.854	291.14285	293.9	131999	600.5402	190.43861	877.57996	-390.43945	-610.6045	474.03845	18554.989520549774
67	374.0073	296.1067	821.6825	19.978992	810.67126	148.33455	1176.7473	641.95715	183.625	408.2	133999	592.28235	186.32709	861.0047	-602.89545	-602.39764	469.7905	18900.52581501007
68	1070.4602	90.95639	1161.4166	979.50385	1010.19324	0.742322	1011.2485	1008.9811	835.5	1000.0	135999	590.0412	183.57007	846.8262	-443.80994	-600.3656	445.68433	19275.04171681404
69	1017.5978	5.6756287	1023.27344	1011.9222	853.77673	70.896706	967.8873	735.0874	1000.0	550.6	137999	585.056	181.2723	852.2756	-360.16382	-594.41986	425.18658	19626.397586107254
70	448.38745	382.39987	1059.0096	9.600344	592.3617	54.734985	651.04456	512.93024	280.0	326.8	139999	579.4796	178.16942	843.8392	-507.3547	-589.432	419.3298	19957.097739696503
71	391.70816	329.6299	930.4625	46.202057	765.1749	299.10284	1203.106	404.14822	266.5	424.3	141999	575.28656	177.31607	862.4722	-406.52097	-584.7396	407.52164	20303.633224248886
72	673.915	517.9239	1432.2537	41.14338	1036.2333	303.56198	1359.6027	515.68195	466.0	716.8	143999	566.5554	173.21109	839.8546	-403.63754	-575.32214	416.6387	20665.854427337646
73	1366.8928	4.9261475	1371.819	1361.9667	975.49786	427.84125	1577.0619	292.92905	1000.0	587.3	145999	559.02826	167.6429	821.79517	-361.0711	-567.66113	378.98444	21019.80726289749
74	551.0654	439.8885	1264.4625	25.334663	461.3139	249.4984	862.3985	32.29771	383.0	287.1	147999	553.88824	165.70001	786.71545	-387.35995	-562.64685	380.66028	21352.48938393593
75	991.0563	450.59586	1743.7714	554.8855	628.428	441.733	1653.7689	308.26666	574.5	361.1	149999	548.32965	163.95291	759.7944	-360.522	-556.87866	353.68848	21685.52495074272
76	1002.2452	712.35626	1695.5596	22.608093	801.98584	521.18066	1901.0563	49.58321	598.6667	367.5	151999	542.76105	160.8	742.5953	-479.06125	-551.1458	373.22803	22028.314501047134
77	1507.4924	232.66888	1740.1614	1274.8236	1294.6682	463.56036	1921.4908	562.7565	827.5	701.9	153999	535.5429	156.49721	735.8032	-621.79974	-543.5434	336.41437	22381.63797068596
78	827.5926	558.4018	1675.8475	38.393795	1411.0715	429.10434	1924.3245	418.2696	494.6	854.4	155999	527.5933	150.32335	747.1028	-372.8468	-535.349	320.7339	22754.25643801689
79	1068.8196	614.5763	1833.2927	328.4746	557.66534	267.90518	1090.6355	222.94075	600.3333	301.1	157999	520.44666	142.49454	718.3794	-428.5426	-528.25397	318.55792	23091.692029237747
80	454.95776	337.93182	1144.5646	68.66203	1017.08466	633.6511	1870.2396	314.19492	262.75	549.8	159999	516.64594	139.4613	726.72723	-392.71832	-524.4762	294.26996	23440.004454135895
81	866.6968	319.85052	1335.2952	487.33545	327.48984	331.12985	1107.5577	40.6113	516.0	184.3	161999	509.65897	135.22406	738.1994	-428.49094	-516.9002	304.6171	23768.993552446365
82	415.82242	324.16162	1003.9001	65.665535	654.3634	499.19516	1678.3643	246.48535	226.14285	369.5	163999	500.34183	130.57745	703.1994	-361.00204	-507.58533	301.4798	24107.760988473892
83	1178.0208	76.39076	1253.9069	1073.4872	629.0241	128.91829	946.76196	420.2554	772.3333	267.0	165999	495.38492	126.23838	691.56683	-386.27075	-502.67136	290.54797	24442.886710882187
84	687.8983	464.16058	1502.4211	234.3728	475.03506	450.10822	1277.6512	71.53506	392.4	261.5	167999	490.47375	122.99177	703.0172	-344.81598	-497.7078	278.57944	24781.802769184113
85	964.6411	188.8278	1183.8036	722.92444	986.15155	0.5465064	987.3016	985.47284	584.3333	1000.0	169999	487.00116	119.74572	722.58093	-400.20743	-494.46854	278.71176	25162.52703666687
86	903.33093	83.66379	986.99475	819.6672	425.9633	253.92598	903.44855	83.97425	951.5	578.5	171999	485.8835	119.17955	726.6091	-383.1997	-493.00662	276.5694	25518.545305728912
87	446.53143	245.734	694.72217	111.92306	285.91522	407.25482	1268.4808	69.51437	610.5	277.0	173999	483.29288	117.09817	722.596	-493.42935	-490.19617	287.48694	25858.806571006775
88	215.95248	112.75079	379.5044	80.33816	128.3721	90.44362	328.24332	50.124527	397.6	355.8	175999	479.38647	112.099045	711.35034	-312.59677	-485.91818	273.8388	26201.596098661423
89	34.373886	33.55199	101.29383	7.8979897	15.152814	1.007895	16.944149	13.595964	95.27273	42.5	177999	476.03708	106.88205	730.9419	-326.919	-482.94754	288.24704	26532.956587076187
90	35.444893	23.464094	85.124565	11.819915	31.318573	13.308695	71.21802	25.872818	104.333336	76.3	179999	482.7491	101.22447	861.4499	-360.9566	-492.04443	322.51294	26862.793733119965
91	523.42487	448.79443	972.2193	74.6304	721.7699	30.95854	799.5165	692.9648	649.5	1000.0	181999	527.85565	103.18914	906.81683	-340.05682	-540.90796	437.95923	27244.339684724808
92	261.5702	243.67969	883.6946	43.50632	114.78957	42.927044	205.94028	48.089024	247.54546	90.7	183999	559.243	106.34841	1006.08685	-545.9955	-568.6239	499.0175	27572.065460443497
93	192.8258	88.05705	379.15924	84.778175	270.03052	33.69028	351.41476	240.93202	114.10526	128.2	185999	574.0584	110.03042	807.16327	-329.19858	-584.30414	446.5336	27906.095306158066
94	273.7956	30.46191	322.25488	220.12453	292.39575	7.31344	304.25003	282.95593	129.06667	128.9	187999	590.0891	118.2657	827.48224	-317.4617	-599.9863	422.00024	28237.691870212555
95	308.81036	23.871042	365.2151	286.6981	317.87836	8.237739	329.47195	302.85394	127.4375	134.2	189999	596.0687	125.0868	797.2947	-387.52567	-604.9276	425.5962	28574.217270374298
96	358.8683	102.208916	583.1285	236.62923	340.1413	143.07738	527.92847	192.29639	132.53334	129.9	191999	584.9257	128.75267	776.1629	-483.92807	-591.9279	366.37314	28907.38097691536
97	453.58228	130.45784	591.93274	83.678444	415.95108	49.98844	481.97958	310.17767	163.16667	146.5	193999	567.9196	132.45564	745.1804	-353.66864	-575.2109	365.63495	29243.168731451035
98	522.9614	171.57095	837.96454	206.83444	273.30157	37.43476	320.30072	179.6707	175.36363	112.2	195999	555.7972	133.46997	703.8105	-356.20105	-562.89465	355.33035	29579.298629522324
99	185.25319	125.70641	514.4519	55.578804	439.4627	78.80451	523.2429	254.30302	88.565216	157.4	197999	545.29895	133.24895	700.97516	-436.12582	-552.74915	363.79578	29912.788004398346
100	389.18976	157.94794	692.878	169.36021	358.28555	99.87278	480.74344	226.17139	147.5	136.9	199999	536.2505	132.82812	694.0166	-382.30524	-543.2032	304.5404	30251.38465976715
101	764.3875	331.30792	1170.2252	388.81036	1393.0828	423.6611	2226.146	811.50366	309.0	571.5	201999	524.62146	132.04155	681.17566	-550.7006	-531.295	311.55927	30607.863679409027
102	1222.9984	647.2267	1872.2867	339.63058	1106.6681	671.6124	2364.1938	405.1092	615.0	510.4	203999	513.4165	129.99458	669.399	-490.5224	-519.9316	293.93665	30968.21186900139
103	1300.8987	420.76294	1704.1747	595.69763	1251.8446	595.7382	1885.1348	341.4752	533.25	657.9	205999	503.21484	128.50526	662.30743	-360.13736	-509.43155	305.84464	31329.60068488121
104	705.19977	638.2128	2017.0061	161.35414	1060.075	609.6384	2554.932	504.05624	346.0	438.2	207999	489.74387	123.62614	648.0772	-437.65634	-495.5567	278.34637	31683.139568328857
105	746.0733	610.66974	2202.704	335.7677	856.6454	627.29114	2127.0706	294.78854	298.14285	332.7	209999	475.79053	119.00862	656.8538	-430.00143	-481.1862	240.20958	32031.745680093765
106	1292.822	581.8187	2072.2473	559.8471	1785.7816	810.6194	2904.4517	328.4221	484.25	619.0	211999	464.7307	113.914246	653.5896	-538.8437	-470.34177	248.5385	32391.727788686752
107	1681.9537	385.63885	2035.399	1145.5322	1932.474	602.7436	2498.7583	832.51715	619.0	809.2	213999	455.67352	109.74125	629.04663	-364.64844	-461.14838	239.7899	32766.531141281128
108	1062.0815	601.3111	2148.3367	472.6645	925.3957	422.49463	1928.3866	534.48737	421.4	446.8	215999	446.68655	106.440315	613.9205	-387.45468	-451.8533	219.349	33117.59286522865
109	1006.43445	514.79224	1884.9635	421.93182	1295.4069	561.9322	2740.7795	616.92334	427.0	456.4	217999	439.755	104.089874	605.5469	-286.13507	-445.05704	213.36372	33474.58313083649
