Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
59	190.8113	51.134697	240.41278	62.10481	90.5	93.02202	34.126297	124.33399	2.303762	120000	-0.039817356	665.25757	-0.0010758713	-135.38422	0.9138111	-4.4703485e-09	1591.5546219348907
60	185.78746	56.469322	243.33737	25.212858	88.22727	87.23876	31.126354	118.11707	-7.5496755	122000	-0.03418306	514.5219	-0.00097282976	-88.56091	0.9136852	-3.218651e-09	1617.5907330513
61	175.79524	48.753765	235.61838	97.830376	86.347824	87.070885	31.74383	119.11818	2.4559877	124000	-0.030432323	651.26526	-0.00065570325	-231.51782	0.9135511	-1.192093e-10	1642.9906899929047
62	206.33142	17.877823	235.08969	166.7833	95.5	85.93522	30.802673	116.22773	3.7267537	126000	-0.0142812375	180.95825	-0.00080758054	-127.52357	0.91341674	9.536744e-10	1668.8271169662476
63	207.5292	21.665302	246.21323	152.47137	97.35	91.04364	35.361008	127.37978	0.97828853	128000	0.012119441	189.40823	-0.00039753318	-118.2099	0.9132904	-3.2782554e-09	1694.7511024475098
64	199.4362	48.996284	245.56366	52.23841	92.0	90.7716	36.581398	127.19039	-6.9041634	130000	-0.03087593	387.5041	-0.00055513345	-132.0268	0.9131841	2.8014182e-09	1720.903041601181
65	201.94518	34.346836	222.80505	81.799675	93.09524	92.16236	35.10997	126.98744	1.3724484	132000	-0.08524778	287.94073	-0.0011159033	-83.46806	0.9130721	2.3245812e-09	1747.6831140518188
66	210.21622	17.21561	244.68755	162.5247	97.2	89.09595	35.192398	125.30772	3.7578185	134000	-0.00031767125	285.44406	-0.00073961914	-186.82123	0.9129297	8.9406965e-10	1774.2866613864899
67	196.38373	38.56011	227.95607	82.405235	89.63636	91.29982	36.482082	127.675026	1.6785079	136000	-0.022973642	388.58194	-0.00039167702	-104.89914	0.91280276	-2.503395e-09	1799.3382234573364
68	165.81209	70.105644	244.76526	15.404645	80.083336	92.444046	32.783115	126.02925	3.5592573	138000	-0.078918844	917.9641	-0.0013927072	-382.90765	0.91267866	-2.3245812e-09	1824.838525056839
69	205.9747	42.785454	274.17413	54.568542	96.1	82.717766	32.32374	119.30056	-1.3282541	140000	-0.06026428	543.8798	-0.0010144226	-265.5902	0.9125363	4.23193e-09	1851.3613719940186
